식당(ID),식당명,지점명,지역명,어워드정보설명,(RTI)지수,온라인화진행여부,수용태세지수,인기도,트립어드바이저평점,씨트립평점,네이버평점
61424,치킨집,,강동구,,0.0186212,,0.029,,,,
61425,빈빈양꼬치,,관악구,,4.3429091,Y,0.219,0.33,,,4.29
61426,장군집,본점,관악구,,4.2755865,N,0.217,0.33,,,4.62
61427,단이네 벌교 꼬막,강남점,강남구,,4.4362082,N,0.201,0.33,,,4.36
61428,술이있는마을,,관악구,,0.910544,N,0.2,,,,4.34
61429,너네가 찾던 포차,,강북구,,0.910544,N,0.197,,,,3
61430,두루,,강남구,,4.2289223,N,0.216,0.33,,,4.38
61432,홍코너,,강북구,,4.0717341,N,0.216,0.02,,,4.54
61433,미정,,강남구,,0.910544,N,0.215,,,,4.29
61434,맛고을포차,,강동구,,3.2736601,Y,0.358,,,,3.61
61435,또돼지곱창,본점,강북구,,4.3378166,N,0.218,0.33,,,5
61436,포포인,,관악구,,4.065988,N,0.275,0.3,3,,4.45
61437,먹자빈대떡,,강남구,,4.2574033,N,0.201,0.04,,,4.5
61439,한강식당,,관악구,,0.910544,N,0.214,,,,3.75
61440,원대구탕,,강남구,,4.2665209,Y,0.361,0.31,4,,4.12
61442,카페비,,강동구,,4.3642203,N,0.211,0.11,,,4.22
61443,59쌀피자,난곡1호점,관악구,,4.2611696,N,0.201,0.03,,,4.57
61444,수산항 횟집,,강북구,,3.9272691,N,0.251,0.01,,,4.24
61445,중앙커피숍,,강동구,,0.910544,N,0.204,,,,
61446,신화불닭,,관악구,,4.2803609,N,0.216,0.09,,,4.53
61447,치즈밥 있슈,미아점,강북구,,0.910544,N,0.216,,,,4.45
61448,다모아먹자집,,강동구,,0.910544,N,0.215,,,,4.14
61449,김밥&분식,서울대점,관악구,,3.2736601,Y,0.221,,,,
61451,바글바글치킨호프,,강서구,,0.910544,N,0.214,,,,3.97
61452,몽땅족발,,강동구,,4.3743509,N,0.236,0.33,,,4.54
61453,J초밥,,강북구,,0.0186212,,0.029,,,,
61454,비니거니치킨,,강서구,,4.1547119,Y,0.233,0.07,,,4.55
61455,매화반점,본점,광진구,,4.4071413,N,0.265,0.33,4,,4.26
61456,자담치킨,서울천호점,강동구,,4.151668,N,0.232,0.03,,,4.27
61457,앙칼진 떡볶이,,강북구,,0.0186212,,0.029,,,,
61458,로니로티,건국대점,광진구,,4.4129914,Y,0.307,0.33,4,,4.47
61459,카페이유,,강동구,,4.3628176,N,0.305,0.33,,,4.4
61460,코코라야,,강북구,,4.297264,Y,0.218,0.02,,,4.62
61461,돈뜨락 숫돌생고기,봉천점,관악구,,4.2834283,N,0.215,0.04,,,4.33
61462,나무 하우스,,강동구,,3.8726737,N,0.28,0.01,,,4.38
61463,골목방,,강북구,,4.1832994,Y,0.268,0.23,,,4.6
61464,장터 잔치국수 수제비,,광진구,,4.2617441,Y,0.217,0.04,,,4.31
61465,청담곱창,,강남구,,4.1831523,Y,0.265,0.33,,,4.45
